id,second_name,team_name,element_type,now_cost,total_points,minutes,goals_scored,assists,clean_sheets,bps,form,ict_index,next5_avg_difficulty,position,predicted_form,form_diff
103,Cox,Brentford,1,40,0,0,0,0,0,0,0.0,0.0,3.2,GK,0.016011253492094146,0.016011253492094146
104,Eyestone,Brentford,1,40,0,0,0,0,0,0,0.0,0.0,3.2,GK,0.016011253492094146,0.016011253492094146
105,Valdimarsson,Brentford,1,39,0,0,0,0,0,0,0.0,0.0,3.2,GK,0.016011253492094146,0.016011253492094146
106,Collins,Brentford,2,49,30,900,0,0,2,90,3.0,35.1,3.2,DEF,2.772184029571359,-0.2278159704286411
107,Lewis-Potter,Brentford,2,49,21,446,0,1,2,61,1.2,16.2,3.2,DEF,1.0111946087030352,-0.18880539129696472
108,Ajer,Brentford,2,44,19,388,0,2,1,67,2.8,19.0,3.2,DEF,2.5718562683797512,-0.2281437316202486
109,Henry,Brentford,2,43,5,169,0,0,0,7,0.2,3.9,3.2,DEF,0.21620452612647112,0.016204526126471108
110,Kayode,Brentford,2,45,30,862,0,0,2,121,2.8,37.6,3.2,DEF,2.575083993753301,-0.2249160062466986
111,Pinnock,Brentford,2,43,0,155,0,0,0,1,0.0,4.3,3.2,DEF,0.016011253492094146,0.016011253492094146
112,Roerslev Rasmussen,Brentford,2,45,0,0,0,0,0,0,0.0,0.0,3.2,DEF,0.016011253492094146,0.016011253492094146
113,van den Berg,Brentford,2,45,32,900,0,0,2,106,3.0,32.0,3.2,DEF,2.772184029571359,-0.2278159704286411
114,Arthur,Brentford,2,39,0,0,0,0,0,0,0.0,0.0,3.2,DEF,0.016011253492094146,0.016011253492094146
115,Fredrick,Brentford,2,40,0,0,0,0,0,0,0.0,0.0,3.2,DEF,0.016011253492094146,0.016011253492094146
116,Hickey,Brentford,2,40,6,184,0,0,0,16,0.0,1.7,3.2,DEF,0.4045628057244982,0.4045628057244982
117,Ji-soo,Brentford,2,39,0,0,0,0,0,0,0.0,0.0,3.2,DEF,0.016011253492094146,0.016011253492094146
118,Meghoma,Brentford,2,40,0,0,0,0,0,0,0.0,0.0,3.2,DEF,0.016011253492094146,0.016011253492094146
120,Schade,Brentford,3,70,32,830,2,2,2,109,3.5,50.0,3.2,MID,2.9741256534497427,-0.5258743465502573
121,Damsgaard,Brentford,3,58,31,632,1,1,2,131,3.0,43.9,3.2,MID,2.7821361828064717,-0.21786381719352832
122,Milambo,Brentford,3,53,1,45,0,0,0,5,0.0,0.6,3.2,MID,0.016011253492094146,0.016011253492094146
123,Freitas Gouveia Carvalho,Brentford,3,49,13,100,1,0,0,42,0.2,8.1,3.2,MID,0.41599433308915434,0.21599433308915433
124,Henderson,Brentford,3,50,27,739,0,2,3,132,1.2,26.3,3.2,MID,1.1726551768548126,-0.02734482314518738
125,Janelt,Brentford,3,49,9,139,0,0,0,27,1.5,7.2,3.2,MID,1.4029738863089891,-0.09702611369101088
126,Jensen,Brentford,3,49,20,208,2,0,0,87,2.0,18.9,3.2,MID,1.8114297450116181,-0.18857025498838187
127,Nunes Fernandes Gomes,Brentford,3,49,0,0,0,0,0,0,0.0,0.0,3.2,MID,0.016011253492094146,0.016011253492094146
128,Onyeka,Brentford,3,49,12,88,0,2,0,41,0.2,4.6,3.2,MID,0.41424598184514805,0.21424598184514804
129,Yarmoliuk,Brentford,3,50,29,785,0,1,2,122,1.5,25.0,3.2,MID,1.584069783816529,0.08406978381652896
130,Donovan,Brentford,3,45,0,0,0,0,0,0,0.0,0.0,3.2,MID,0.016011253492094146,0.016011253492094146
131,Konak,Brentford,3,44,0,0,0,0,0,0,0.0,0.0,3.2,MID,0.016011253492094146,0.016011253492094146
132,Maghoma,Brentford,3,45,0,0,0,0,0,0,0.0,0.0,3.2,MID,0.016011253492094146,0.016011253492094146
133,Peart-Harris,Brentford,3,44,0,0,0,0,0,0,0.0,0.0,3.2,MID,0.016011253492094146,0.016011253492094146
134,Trevitt,Brentford,3,45,0,0,0,0,0,0,0.0,0.0,3.2,MID,0.016011253492094146,0.016011253492094146
136,Nascimento Rodrigues,Brentford,4,62,47,831,6,0,2,187,3.8,66.6,3.2,FWD,3.3762605499625025,-0.42373945003749736
137,Morgan,Brentford,4,44,0,0,0,0,0,0,0.0,0.0,3.2,FWD,0.016011253492094146,0.016011253492094146
748,Dasilva,Brentford,3,50,0,0,0,0,0,0,0.0,0.0,3.2,MID,0.016011253492094146,0.016011253492094146
138,Steele,Brighton,1,43,0,0,0,0,0,0,0.0,0.0,2.8,GK,-0.036432172202467084,-0.036432172202467084
139,Verbruggen,Brighton,1,44,20,900,0,0,1,118,2.2,21.1,2.8,GK,1.9184295591103653,-0.2815704408896349
140,McGill,Brighton,1,40,0,0,0,0,0,0,0.0,0.0,2.8,GK,-0.036432172202467084,-0.036432172202467084
141,Rushworth,Brighton,1,40,0,0,0,0,0,0,0.0,0.0,2.8,GK,-0.036432172202467084,-0.036432172202467084
142,Scherpen,Brighton,1,40,0,0,0,0,0,0,0.0,0.0,2.8,GK,-0.036432172202467084,-0.036432172202467084
143,Boscagli,Brighton,2,43,0,0,0,0,0,0,0.0,0.0,2.8,DEF,-0.036432172202467084,-0.036432172202467084
144,Coppola,Brighton,2,43,3,17,0,0,0,6,0.2,0.8,2.8,DEF,0.16376110043190995,-0.036238899568090066
