year,tournament,surface,tourney_level,avg_sets_R16,avg_diff_games_R16,avg_tot_games_R16,avg_rank_R16,fave_ratio_R16,avg_sets_QF,avg_diff_games_QF,avg_tot_games_QF,avg_rank_QF,fave_ratio_QF,avg_sets_SF,avg_diff_games_SF,avg_tot_games_SF,avg_rank_SF,fave_ratio_SF,avg_sets_F,avg_diff_games_F,avg_tot_games_F,avg_rank_F,fave_ratio_F
2006,Indian Wells Masters,Hard,M,2.25,5.0,19.0,20.125,0.625,2.25,5.5,21.5,19.5,0.75,2.0,6.0,19.0,7.5,0.5,3.0,11.0,27.0,1.0,1.0
2006,Monte Carlo Masters,Clay,M,2.375,5.25,20.25,10.0,0.875,2.0,8.0,16.5,8.0,0.75,2.5,7.0,22.0,1.5,1.0,4.0,7.0,43.0,2.0,0.0
2006,Hamburg Masters,Clay,M,2.25,5.375,21.125,23.75,0.5,2.5,4.5,26.5,17.75,0.75,2.0,3.5,22.5,14.0,1.0,3.0,11.0,25.0,12.0,1.0
2006,Rome Masters,Clay,M,2.0,4.875,18.625,15.5,0.875,2.25,5.5,22.0,10.25,0.75,2.5,4.5,23.5,1.5,1.0,5.0,-1.0,57.0,2.0,0.0
2006,Canada Masters,Hard,M,2.625,4.75,25.5,24.375,0.5,2.5,5.25,25.75,24.75,0.5,2.5,6.0,24.0,26.0,0.5,3.0,3.0,25.0,1.0,1.0
2006,Cincinnati Masters,Hard,M,2.125,3.875,22.375,13.125,0.75,2.0,4.5,21.0,15.75,0.5,2.0,5.5,18.5,21.5,0.5,2.0,5.0,19.0,12.0,1.0
2006,Roland Garros,Clay,G,3.375,5.125,31.375,23.25,0.625,3.0,5.5,22.5,2.5,1.0,3.0,3.5,15.5,1.5,1.0,4.0,3.0,37.0,2.0,0.0
2006,Wimbledon,Grass,G,4.125,4.875,43.375,16.0,0.875,3.75,5.5,39.5,19.5,0.5,3.0,12.0,25.0,1.5,1.0,4.0,9.0,41.0,1.0,1.0
2006,US Open,Hard,G,3.625,8.0,33.25,14.125,0.875,4.0,6.5,41.5,17.75,0.75,3.5,9.0,35.0,5.5,1.0,4.0,9.0,37.0,1.0,1.0
2006,Australian Open,Hard,G,3.75,6.75,34.75,23.75,0.75,4.25,4.75,41.75,21.0,0.75,4.5,6.5,42.5,27.5,0.5,4.0,10.0,38.0,1.0,1.0
2007,Madrid Masters,Hard,M,2.125,4.75,20.75,30.0,0.75,2.0,5.5,20.0,35.25,0.5,2.0,3.5,21.5,13.0,0.5,3.0,1.0,25.0,25.0,0.0
2007,Paris Masters,Hard,M,2.125,4.5,20.5,12.75,0.5,2.5,3.25,24.25,14.5,0.25,2.5,4.5,23.5,11.5,0.5,2.0,8.0,16.0,21.0,0.0
2007,Miami Masters,Hard,M,2.375,3.875,24.125,15.0,0.875,1.75,4.0,15.0,21.0,0.25,2.0,8.5,16.5,32.5,0.5,3.0,9.0,27.0,10.0,1.0
2007,Indian Wells Masters,Hard,M,2.25,5.0,20.25,11.875,0.75,2.25,3.0,25.0,8.0,0.75,2.0,6.0,18.0,7.5,1.0,2.0,6.0,20.0,2.0,1.0
2007,Monte Carlo Masters,Clay,M,2.375,4.5,23.75,19.5,0.625,2.5,6.5,23.0,9.5,0.75,2.0,6.5,18.5,1.5,1.0,2.0,4.0,20.0,2.0,0.0
2007,Hamburg Masters,Clay,M,2.5,4.0,22.75,17.125,0.5,2.5,3.5,25.5,15.0,0.75,3.0,2.5,28.5,1.5,1.0,3.0,6.0,22.0,1.0,1.0
2007,Rome Masters,Clay,M,2.25,6.625,20.375,14.0,0.75,2.25,5.0,19.5,16.25,0.75,2.5,5.5,25.5,4.0,1.0,2.0,8.0,16.0,2.0,1.0
2007,Canada Masters,Hard,M,2.5,5.0,23.5,23.375,0.75,2.25,4.25,22.75,16.75,0.5,2.0,5.0,21.0,2.5,0.5,3.0,-2.0,34.0,4.0,0.0
2007,Cincinnati Masters,Hard,M,2.125,5.0,21.25,20.625,0.625,2.5,4.5,23.5,8.5,0.75,2.5,4.5,26.5,4.5,0.5,2.0,7.0,17.0,1.0,1.0
2007,Roland Garros,Clay,G,3.25,7.375,31.875,24.375,0.875,3.25,8.0,29.5,3.25,1.0,3.0,6.0,34.0,1.5,1.0,4.0,6.0,38.0,2.0,0.0
2007,Wimbledon,Grass,G,3.125,5.875,32.125,8.75,0.875,4.25,3.5,47.5,5.5,0.75,3.0,3.5,15.5,1.5,1.0,5.0,0.0,52.0,1.0,1.0
2007,US Open,Hard,G,3.875,5.0,36.25,9.625,0.75,3.0,7.75,30.25,5.75,1.0,3.0,8.0,30.0,2.0,1.0,3.0,4.0,36.0,1.0,1.0
2007,Australian Open,Hard,G,4.0,6.125,39.375,10.25,0.625,3.5,7.0,32.0,7.25,0.5,3.0,12.5,23.5,5.0,1.0,3.0,5.0,33.0,1.0,1.0
2008,Madrid Masters,Hard,M,2.25,4.0,23.5,13.875,0.5,2.25,4.5,22.5,5.75,1.0,3.0,1.0,32.0,10.0,0.0,2.0,3.0,23.0,4.0,1.0
2008,Paris Masters,Hard,M,2.125,5.375,19.375,6.625,0.875,1.5,1.25,14.25,9.75,0.0,2.5,5.0,24.0,11.0,0.0,3.0,3.0,29.0,14.0,0.0
2008,Miami Masters,Hard,M,2.375,4.875,22.625,13.125,0.75,2.5,5.0,23.0,5.5,0.75,2.0,5.0,21.0,3.0,1.0,2.0,6.0,18.0,4.0,0.0
